booking_id,farmer_id,slot_id,centre_id,booking_date,crop,quantity_quintals,status,grading_result,procured_quantity_quintals,msp_rate_inr,payment_amount_inr,payment_status,queue_position_at_booking,estimated_wait_minutes,sms_notifications_sent
B00001,F0034,S00211,PC003,2026-03-07,Groundnut,17.7,Confirmed,,,6377,,Not Applicable,1,12,2
B00002,F0012,S00041,PC001,2026-03-06,Groundnut,22.0,Procured,FAQ (Fair Average Quality),22.0,6377,140294.0,Pending,1,12,4
B00003,F0059,S00299,PC004,2026-03-08,Cotton,7.3,Procured,FAQ (Fair Average Quality),7.3,7121,51983.3,Pending,1,12,4
B00004,F0043,S00005,PC001,2026-03-01,Onion,22.7,Procured,FAQ (Fair Average Quality),22.7,1200,27240.0,Pending,1,12,4
B00005,F0029,S00177,PC003,2026-03-03,Groundnut,8.9,Payment Completed,Grade A,8.9,6377,56755.3,Completed,1,12,4
B00006,F0030,S00155,PC002,2026-03-10,Soybean,25.0,Payment Pending,FAQ (Fair Average Quality),25.0,4892,122300.0,Pending,1,12,4
B00007,F0025,S00293,PC004,2026-03-07,Bajra,15.2,Payment Completed,FAQ (Fair Average Quality),15.2,2500,38000.0,Completed,1,12,4
B00008,F0054,S00338,PC005,2026-03-03,Tur (Arhar),8.3,Procured,Grade A,8.3,7000,58100.0,Pending,1,12,4
B00009,F0048,S00026,PC001,2026-03-04,Groundnut,19.1,Payment Pending,Grade B,19.1,6377,121800.7,Pending,1,12,4
B00010,F0050,S00118,PC002,2026-03-05,Groundnut,20.4,Confirmed,,,6377,,Not Applicable,1,12,2
B00011,F0013,S00318,PC004,2026-03-10,Maize,17.6,Procured,Grade A,17.6,2090,36784.0,Pending,1,12,4
B00012,F0054,S00071,PC001,2026-03-09,Paddy (Common),22.8,Procured,FAQ (Fair Average Quality),22.8,2183,49772.4,Pending,1,12,4
B00013,F0029,S00018,PC001,2026-03-03,Groundnut,10.4,Confirmed,,,6377,,Not Applicable,1,12,2
B00014,F0059,S00152,PC002,2026-03-09,Bajra,19.2,Confirmed,,,2500,,Not Applicable,1,12,2
B00015,F0009,S00277,PC004,2026-03-05,Bajra,14.2,Payment Completed,Below FAQ - Rejected,0.0,2500,0.0,Completed,1,12,4
B00016,F0017,S00247,PC004,2026-03-01,Maize,19.2,Checked-In,,,2090,,Not Applicable,1,12,3
B00017,F0008,S00240,PC003,2026-03-10,Paddy (Common),5.2,Payment Completed,Grade B,5.2,2183,11351.6,Completed,1,12,4
B00018,F0047,S00346,PC005,2026-03-04,Tur (Arhar),24.2,Payment Pending,FAQ (Fair Average Quality),24.2,7000,169400.0,Pending,1,12,4
B00019,F0051,S00203,PC003,2026-03-06,Wheat,8.1,Confirmed,,,2275,,Not Applicable,1,12,2
B00020,F0024,S00345,PC005,2026-03-04,Maize,15.4,Payment Pending,Grade B,15.4,2090,32186.0,Pending,1,12,4
B00021,F0007,S00346,PC005,2026-03-04,Soybean,12.8,Procured,Grade B,12.8,4892,62617.6,Pending,2,24,4
B00022,F0021,S00313,PC004,2026-03-10,Soybean,16.9,Procured,FAQ (Fair Average Quality),16.9,4892,82674.8,Pending,1,12,4
B00023,F0045,S00155,PC002,2026-03-10,Tur (Arhar),4.7,Booked,,,7000,,Not Applicable,2,24,1
B00024,F0003,S00156,PC002,2026-03-10,Onion,4.7,Confirmed,,,1200,,Not Applicable,1,12,2
B00025,F0035,S00070,PC001,2026-03-09,Tur (Arhar),12.4,Procured,Grade A,12.4,7000,86800.0,Pending,1,12,4
B00026,F0035,S00215,PC003,2026-03-07,Groundnut,19.1,Confirmed,,,6377,,Not Applicable,1,12,2
B00027,F0027,S00336,PC005,2026-03-02,Paddy (Common),21.2,Procured,Grade B,21.2,2183,46279.6,Pending,1,12,4
