slot_id,centre_id,date,start_time,end_time,max_farmers,booked_count
S00001,PC001,2026-03-01,08:00,09:00,7,0
S00002,PC001,2026-03-01,09:00,10:00,7,0
S00003,PC001,2026-03-01,10:00,11:00,7,0
S00004,PC001,2026-03-01,11:00,12:00,7,0
S00005,PC001,2026-03-01,12:00,13:00,7,0
S00006,PC001,2026-03-01,13:00,14:00,7,0
S00007,PC001,2026-03-01,14:00,15:00,7,0
S00008,PC001,2026-03-01,15:00,16:00,7,0
S00009,PC001,2026-03-02,08:00,09:00,7,0
S00010,PC001,2026-03-02,09:00,10:00,7,0
S00011,PC001,2026-03-02,10:00,11:00,7,0
S00012,PC001,2026-03-02,11:00,12:00,7,0
S00013,PC001,2026-03-02,12:00,13:00,7,0
S00014,PC001,2026-03-02,13:00,14:00,7,0
S00015,PC001,2026-03-02,14:00,15:00,7,0
S00016,PC001,2026-03-02,15:00,16:00,7,0
S00017,PC001,2026-03-03,08:00,09:00,7,0
S00018,PC001,2026-03-03,09:00,10:00,7,0
S00019,PC001,2026-03-03,10:00,11:00,7,0
S00020,PC001,2026-03-03,11:00,12:00,7,0
S00021,PC001,2026-03-03,12:00,13:00,7,0
S00022,PC001,2026-03-03,13:00,14:00,7,0
S00023,PC001,2026-03-03,14:00,15:00,7,0
S00024,PC001,2026-03-03,15:00,16:00,7,0
S00025,PC001,2026-03-04,08:00,09:00,7,0
S00026,PC001,2026-03-04,09:00,10:00,7,0
S00027,PC001,2026-03-04,10:00,11:00,7,0
S00028,PC001,2026-03-04,11:00,12:00,7,0
S00029,PC001,2026-03-04,12:00,13:00,7,0
S00030,PC001,2026-03-04,13:00,14:00,7,0
S00031,PC001,2026-03-04,14:00,15:00,7,0
S00032,PC001,2026-03-04,15:00,16:00,7,0
S00033,PC001,2026-03-05,08:00,09:00,7,0
S00034,PC001,2026-03-05,09:00,10:00,7,0
S00035,PC001,2026-03-05,10:00,11:00,7,0
S00036,PC001,2026-03-05,11:00,12:00,7,0
S00037,PC001,2026-03-05,12:00,13:00,7,0
S00038,PC001,2026-03-05,13:00,14:00,7,0
S00039,PC001,2026-03-05,14:00,15:00,7,0
S00040,PC001,2026-03-05,15:00,16:00,7,0
S00041,PC001,2026-03-06,08:00,09:00,7,0
S00042,PC001,2026-03-06,09:00,10:00,7,0
S00043,PC001,2026-03-06,10:00,11:00,7,0
S00044,PC001,2026-03-06,11:00,12:00,7,0
S00045,PC001,2026-03-06,12:00,13:00,7,0
S00046,PC001,2026-03-06,13:00,14:00,7,0
S00047,PC001,2026-03-06,14:00,15:00,7,0
S00048,PC001,2026-03-06,15:00,16:00,7,0
S00049,PC001,2026-03-07,08:00,09:00,7,0
S00050,PC001,2026-03-07,09:00,10:00,7,0
S00051,PC001,2026-03-07,10:00,11:00,7,0
S00052,PC001,2026-03-07,11:00,12:00,7,0
S00053,PC001,2026-03-07,12:00,13:00,7,0
S00054,PC001,2026-03-07,13:00,14:00,7,0
S00055,PC001,2026-03-07,14:00,15:00,7,0
S00056,PC001,2026-03-07,15:00,16:00,7,0
S00057,PC001,2026-03-08,08:00,09:00,7,0
S00058,PC001,2026-03-08,09:00,10:00,7,0
S00059,PC001,2026-03-08,10:00,11:00,7,0
S00060,PC001,2026-03-08,11:00,12:00,7,0
S00061,PC001,2026-03-08,12:00,13:00,7,0
S00062,PC001,2026-03-08,13:00,14:00,7,0
S00063,PC001,2026-03-08,14:00,15:00,7,0
S00064,PC001,2026-03-08,15:00,16:00,7,0
S00065,PC001,2026-03-09,08:00,09:00,7,0
S00066,PC001,2026-03-09,09:00,10:00,7,0
S00067,PC001,2026-03-09,10:00,11:00,7,0
S00068,PC001,2026-03-09,11:00,12:00,7,0
S00069,PC001,2026-03-09,12:00,13:00,7,0
S00070,PC001,2026-03-09,13:00,14:00,7,0
S00071,PC001,2026-03-09,14:00,15:00,7,0
S00072,PC001,2026-03-09,15:00,16:00,7,0
S00073,PC001,2026-03-10,08:00,09:00,7,0
S00074,PC001,2026-03-10,09:00,10:00,7,0
S00075,PC001,2026-03-10,10:00,11:00,7,0
S00076,PC001,2026-03-10,11:00,12:00,7,0
S00077,PC001,2026-03-10,12:00,13:00,7,0
S00078,PC001,2026-03-10,13:00,14:00,7,0
S00079,PC001,2026-03-10,14:00,15:00,7,0
S00080,PC001,2026-03-10,15:00,16:00,7,0
S00081,PC002,2026-03-01,08:00,09:00,5,0
S00082,PC002,2026-03-01,09:00,10:00,5,0
S00083,PC002,2026-03-01,10:00,11:00,5,0
S00084,PC002,2026-03-01,11:00,12:00,5,0
